City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,coihaique,79,CL,1578203892,71,-45.58,-72.07,50.0,3.36
1,ilulissat,100,GL,1578203892,72,69.22,-51.1,10.4,1.12
2,albany,90,US,1578203764,80,42.65,-73.75,36.0,11.41
3,ushuaia,40,AR,1578203893,76,-54.81,-68.31,48.2,11.41
4,kavieng,100,PG,1578203893,72,-2.57,150.8,84.83,10.31
5,kaka,99,TM,1578203893,83,37.35,59.62,41.05,3.38
6,geraldton,90,CA,1578203893,78,49.72,-86.95,14.0,2.24
7,kolosovka,100,RU,1578203894,94,56.47,73.61,14.63,11.54
8,lethem,55,GY,1578203894,69,3.38,-59.8,77.34,14.32
9,ribeira grande,100,PT,1578203894,89,38.52,-28.7,60.82,20.29
10,tuktoyaktuk,40,CA,1578203894,67,69.44,-133.03,-25.6,11.41
11,sept-iles,75,CA,1578203894,85,50.2,-66.38,15.8,6.93
12,port elizabeth,90,US,1578203895,87,39.31,-74.98,44.01,11.41
13,port blair,83,IN,1578203895,74,11.67,92.75,82.04,10.83
14,rikitea,42,PF,1578203895,72,-23.12,-134.97,75.9,16.87
15,narsaq,98,GL,1578203896,79,60.91,-46.05,24.8,3.36
16,puerto ayora,40,EC,1578203813,83,-0.74,-90.35,75.0,3
17,saint george,40,GR,1578203896,69,39.45,22.34,39.99,3.36
18,acapulco,5,MX,1578203655,88,16.86,-99.88,77.0,2.77
19,sarkand,5,KZ,1578203896,66,45.41,79.91,27.19,1.59
20,mataura,51,NZ,1578203897,70,-46.19,168.86,55.0,21.99
21,antofagasta,90,CL,1578203647,68,-23.65,-70.4,72.0,2.24
22,cherskiy,83,RU,1578203897,55,68.75,161.3,-2.25,7.99
23,mongagua,75,BR,1578203897,88,-24.09,-46.62,66.99,4.7
24,tura,100,RU,1578203897,90,64.27,100.22,4.91,6.33
25,souillac,0,FR,1578203898,93,45.6,-0.6,35.6,4.7
26,kapaa,90,US,1578203898,88,22.08,-159.32,75.2,20.8
27,lesnoye,100,RU,1578203898,90,51.57,42.77,34.0,5.99
28,kadiri,19,IN,1578203898,49,14.11,78.16,81.81,8.55
29,galle,0,GN,1578203899,50,10.08,-12.83,62.69,1.05
30,kletskaya,53,RU,1578203899,93,49.31,43.06,28.99,1.99
31,angoche,100,MZ,1578203899,80,-16.23,39.91,82.08,3.36
32,upernavik,57,GL,1578203899,91,72.79,-56.15,-35.79,9.44
33,hithadhoo,62,MV,1578203899,67,-0.6,73.08,84.18,6.15
34,henties bay,81,NA,1578203900,92,-22.12,14.28,62.01,3
35,nome,1,US,1578203900,87,30.04,-94.42,51.01,4.36
36,kodiak,1,US,1578203900,51,39.95,-94.76,37.99,12.75
37,rionero in vulture,90,IT,1578203900,86,40.93,15.67,44.6,14.99
38,inhambane,20,MZ,1578203900,69,-23.87,35.38,82.4,5.82
39,vaini,20,IN,1578203901,60,15.34,74.49,75.2,9.17
40,chokurdakh,60,RU,1578203901,96,70.62,147.9,-14.84,5.88
41,east london,90,ZA,1578203901,100,-33.02,27.91,73.4,13.87
42,chuy,0,UY,1578203901,86,-33.69,-53.46,65.34,7.78
43,geilo,100,NO,1578203901,96,60.53,8.21,25.0,8.01
44,castro,80,CL,1578203902,76,-42.48,-73.76,51.8,4.7
45,jamestown,100,AU,1578203902,80,-33.21,138.6,54.86,7.65
46,shingu,40,JP,1578203902,39,33.72,135.99,50.0,19.46
47,dillon,1,US,1578203902,53,45.22,-112.64,21.2,10.29
48,pitimbu,20,BR,1578203903,88,-7.47,-34.81,77.0,2.24
49,auburn,90,US,1578203903,97,44.1,-70.23,34.0,6.93
50,salalah,75,OM,1578203903,65,17.01,54.1,78.8,12.75
51,china,0,MX,1578203903,54,25.71,-99.24,56.91,10.94
52,shu,44,KZ,1578203903,93,43.6,73.76,30.0,0.11
